Run_ID,Revenue_Mult,CAPEX_Mult,OPEX_Mult,Solar_Mult,Project_IRR,Equity_IRR,NPV_USD,Payback_Years
366,0.9419476550195277,1.0470862723536487,1.2003885405221688,1.019733576491149,0.032324050663660155,0.04462820511918631,-26166133.96969951,19.0
367,0.8804116937964815,1.0355682134576112,1.1435957783974782,0.9695108547840309,0.019430125772111555,0.035108837881181305,-29669544.97752012,20.0
368,0.9865982833327083,1.0011750555783359,0.9058122024301312,1.0324140216921929,0.05132651881043825,0.0585192288850024,-18918847.11969106,18.0
369,0.9879051851392219,1.0335625955125622,0.893500938663748,0.9781270849838295,0.04161516294019232,0.05131958190498966,-22840776.42174395,18.0
370,1.072238135782777,0.9701733478326586,1.2072356621480087,0.9800181907192699,0.052060773576458726,0.059147433985025956,-18107951.70224339,18.0
371,1.0224684725751887,1.0746072665498472,0.8297961120480362,0.9119595594009612,0.03460753188808785,0.04617015944657623,-26083338.70307113,19.0
372,0.8474343685429905,1.1010067282741747,0.9337770224929064,1.1279099642834125,0.032776618759318914,0.04486874512342778,-27338117.604559865,19.0
373,0.9435752401342612,1.014764104255763,1.185053194308145,1.100304644407956,0.046195323246654506,0.054784242730893086,-20938092.349071644,18.0
374,1.2061503576636399,1.0966692984474513,1.1228875030973755,1.029626347460059,0.06263933681906195,0.06674769322508474,-16356565.9280538,17.0
375,1.0778361076166638,0.9559051426937173,0.9018161339893231,0.9998312771294524,0.06370284866714171,0.06748543128648743,-13882701.89506944,17.0
376,0.9829815377475072,0.963741756053818,1.0835664936948057,1.0477652604285255,0.052889069145490665,0.059723971485690426,-17707415.59180608,18.0
377,1.0088406886291847,1.118202406484421,0.8629973063039794,0.9903170270360141,0.03820083209926765,0.04879232386624093,-25906804.89969878,18.0
378,0.9283177679397195,0.8506770706341552,0.9900783176988761,0.9939126245808358,0.053991311440993395,0.06054057696633313,-15307921.164591212,18.0
379,1.1513449743242132,1.0504649347643822,0.8770975810804954,1.0927046283167094,0.07379080633650188,0.07453619420100807,-11267587.711580504,17.0
380,1.1221033695525353,1.0465678162774892,0.9728219081380202,0.952028038163826,0.05120099468082607,0.05843326017066249,-19822817.620522693,18.0
381,0.9627793223928947,1.0870998895763349,1.226150356712153,1.0771621764136095,0.037917491917173154,0.04868693957609386,-25310526.552676495,18.0
382,0.9511150578213726,0.9104306053368791,1.0169063496293445,0.9115780317218574,0.0379533870424419,0.048709957132714476,-21186301.34479788,18.0
383,1.0323167714184782,0.9881917930961065,0.9440756197758109,0.9202648466366602,0.04301070216136777,0.052367186900212574,-21402279.64357523,18.0
384,1.0513600106569716,0.957383932827047,0.8596099797147654,0.8563868893359176,0.0415696501691047,0.05129534564334708,-21173398.335883312,18.0
385,0.9972485094949364,1.1417801277335795,1.1993511057457444,0.9771451871706864,0.025408529258790793,0.03953999081478259,-30820049.46283456,19.0
386,0.9397787939638219,1.037501940486002,0.8801937472974051,1.0150895949909733,0.039914451866717444,0.05006353955283854,-23486030.067357782,18.0
387,1.076608027838469,1.0981546579107446,0.9879815108224057,0.9898163124911517,0.04548251492906921,0.054179436466555764,-22897901.558316056,18.0
388,0.912201741324344,0.9338495716768112,0.9728225329718168,1.018368275340809,0.04540088764534502,0.054156552583945916,-19505375.476437856,18.0
389,1.091358462623325,0.9357456839455724,1.1791226282751426,0.9864438199478716,0.05987080104723793,0.06482426722759926,-14902565.428894138,17.0
390,0.9978632705651563,0.9402230656681742,0.709091168767247,1.0442022698180524,0.06534738282839453,0.06860646528897957,-13079329.663216978,17.0
391,1.0736843897092434,0.9774937954305429,1.0080388860669847,1.025796960885205,0.061825768134098784,0.06616856750702048,-14868314.894358682,17.0
392,0.8437454143113458,0.9576757858122964,1.0953117615546193,0.9372855288415375,0.01857568136944607,0.03448001920060493,-27661536.496747132,20.0
393,1.0293557932166628,0.8914734556301276,1.0559715978920232,0.9982179258851258,0.06168831179829551,0.06610814819483335,-13610222.646504099,17.0
394,0.838486818409449,1.0931791483565738,0.9118490107842341,0.959487378149281,0.012735241837412833,0.029959777137393357,-33208228.221709825,22.0
395,1.0200569197230942,1.0918909879542973,0.8781013817225923,1.0030839924923987,0.043318249028027465,0.05255084072864427,-23528907.401475076,18.0
396,1.0428816500330573,1.0554484485810516,1.021172986633267,0.9816486080458339,0.04386633934028956,0.05299562272254398,-22568082.39797416,18.0
